Player,#,Team,Pos,HT,WT,Age,Exp,College,Status
Storm Duck,36,MIA,CB,6'1,195,25,2,Louisville,ACT
Greg Dulcich,85,MIA,TE,6'4,245,25,4,UCLA,ACT
Donovan Edwards,48,MIA,RB,6'1,212,22,R,Michigan,ACT
Liam Eichenberg,74,MIA,G,6'6,300,28,5,Notre Dame,ACT
Dee Eskridge,82,MIA,WR,5'9,190,28,5,Western Michigan,ACT
Quinn Ewers,14,MIA,QB,6'2,209,22,R,Texas,ACT
Obinna Eze,62,MIA,T,6'8,325,27,1,TCU,ACT
Minkah Fitzpatrick,29,MIA,S,6'1,207,29,8,Alabama,ACT
Willie Gay Jr.,40,MIA,LB,6'1,246,28,6,Mississippi State,ACT
Cameron Goode,53,MIA,LB,6'3,245,27,3,California,ACT
Ollie Gordon II,31,MIA,RB,6'2,225,22,R,Oklahoma State,ACT
Kenneth Grant,90,MIA,DT,6'3,335,22,R,Michigan,ACT
A.J. Green III,24,MIA,CB,6'2,198,27,3,Oklahoma State,ACT
AJ Henning,88,MIA,WR,5'10,192,24,R,Northwestern,ACT
Julian Hill,89,MIA,TE,6'4,251,25,3,Campbell University,ACT
Tyreek Hill,10,MIA,WR,5'10,191,31,10,West Alabama,ACT
Alex Huntley,96,MIA,DT,6'4,298,24,R,South Carolina,ACT
Germain Ifedi,62,MIA,T,6'5,325,31,10,Texas A&M,ACT
Alec Ingold,30,MIA,FB,6'1,232,29,7,Wisconsin,ACT
Austin Jackson,73,MIA,T,6'5,310,26,6,USC,ACT
Caleb Johnson,51,MIA,LB,6'2,227,27,5,Houston Christian University,ACT
Isaiah Johnson,46,MIA,CB,6'3,205,25,1,Syracuse,ACT
Benito Jones,95,MIA,DT,6'1,335,28,5,Mississippi,ACT
Jack Jones,23,MIA,CB,5'11,175,28,4,Arizona State,ACT
Kader Kohou,4,MIA,CB,5'10,197,27,4,Texas A&M-Commerce,ACT
Zack Kuntz,92,MIA,TE,6'8,251,26,2,Old Dominion,ACT
Kendall Lamm,70,MIA,T,6'5,305,33,10,Appalachian State,ACT
Jason Maitre,43,MIA,CB,5'10,188,26,1,Wisconsin,ACT
Jason Marshall Jr.,33,MIA,CB,6'1,204,23,R,Florida,ACT
Terrace Marshall Jr.,N/A,MIA,WR,6'2,200,25,5,LSU,ACT
Alexander Mattison,8,MIA,RB,5'11,220,27,7,Boise State,ACT
Derrick McLendon,59,MIA,LB,6'4,250,25,1,Colorado,ACT
Ifeatu Melifonwu,9,MIA,S,6'3,210,26,5,Syracuse,ACT
Andrew Meyer,60,MIA,C,6'3,295,26,2,Texas-El Paso,ACT
Cam Miller,15,MIA,QB,6'1,211,24,R,North Dakota State,ACT
K.C. Ossai,57,MIA,LB,6'1,240,23,R,Louisiana,ACT
Riley Patterson,47,MIA,K,6'1,190,26,5,Memphis,ACT
Patrick Paul,52,MIA,T,6'7,326,24,2,Houston,ACT
Jordan Phillips,94,MIA,DT,6'3,305,21,R,Maryland,ACT
Josh Priebe,68,MIA,G,6'5,306,24,R,Michigan,ACT
Chop Robinson,44,MIA,LB,6'3,254,23,2,Penn State,ACT
Ethan Robinson,38,MIA,CB,6'1,195,22,R,Minnesota,ACT
Jason Sanders,7,MIA,K,5'11,195,30,8,New Mexico,ACT
Jonah Savaiinaea,72,MIA,RG,6'5,326,22,R,Arizona,ACT
Zach Sieler,92,MIA,DT,6'6,300,30,8,Ferris State,ACT
Kion Smith,71,MIA,G,6'5,300,27,3,Fayetteville State University,ACT
Cole Strange,69,MIA,LG,6'5,310,27,4,Tennessee-Chattanooga,ACT
Tua Tagovailoa,1,MIA,QB,6'1,225,27,6,Alabama,ACT
Dante Trader Jr.,11,MIA,S,5'11,202,23,R,Maryland,ACT
Cole Turner,85,MIA,TE,6'6,240,25,3,Nevada,ACT
Jaylen Waddle,17,MIA,WR,5'10,185,27,5,Alabama,ACT
Darren Waller,83,MIA,TE,6'6,238,33,8,Georgia Tech,ACT
Carter Warren,67,MIA,T,6'5,311,27,3,Pittsburgh,ACT
Malik Washington,6,MIA,WR,5'8,195,25,2,Virginia,ACT
Tahj Washington,84,MIA,WR,5'10,174,24,2,USC,ACT
Theo Wease Jr.,81,MIA,WR,6'2,210,24,R,Missouri,ACT
Nick Westbrook-Ikhine,18,MIA,WR,6'2,211,28,6,Indiana,ACT
Cedrick Wilson Jr.,19,MIA,WR,6'2,197,30,8,Boise State,ACT
Zach Wilson,0,MIA,QB,6'2,214,26,5,BYU,ACT
Jackson Woodard,42,MIA,LB,6'2,230,23,R,UNLV,ACT
Jaylen Wright,5,MIA,RB,5'10,208,22,2,Tennessee,ACT
Terron Armstead,72,MIA,T,6'5,305,25,12,University of Arkansas at Pine Bluff,ACT
Tony Adams,22,NYJ,S,5'11,203,27,4,Illinois,ACT
Braelon Allen,0,NYJ,RB,6'1,235,22,2,Wisconsin,ACT
Tyler Baron,94,NYJ,DL,6'4,258,24,R,Miami,ACT
Andrew Beck,47,NYJ,FB,6'3,255,29,6,Texas,ACT
Kris Boyd,17,NYJ,DB,5'11,201,29,7,Texas,ACT
Jowon Briggs,91,NYJ,DL,6'1,313,24,2,Cincinnati,ACT
Tre Brown,30,NYJ,CB,5'10,186,28,5,Oklahoma,ACT
Jarvis Brownlee Jr.,29,NYJ,DB,5'10,194,24,2,Louisville,ACT
Irvin Charles,19,NYJ,WR,6'4,219,28,3,Indiana (Pa.),ACT
Andre Cisco,8,NYJ,S,6'1,210,25,5,Syracuse,ACT
Dean Clark,35,NYJ,S,6'1,206,24,R,Fresno State,ACT
Jordan Clark,33,NYJ,CB,5'9,184,24,R,Notre Dame,ACT
Micheal Clemons,72,NYJ,DL,6'5,263,28,4,Texas A&M,ACT
Brady Cook,4,NYJ,QB,6'2,215,24,R,Missouri,ACT
Mac Dalena,N/A,NYJ,WR,5'10,176,24,R,Fresno State,PS
Isaiah Davis,32,NYJ,RB,6'1,220,23,2,South Dakota State,ACT
Paschal Ekeji,54,NYJ,DE,6'4,230,23,R,Grey College,ACT
Olu Fashanu,74,NYJ,LT,6'6,312,23,2,Penn State,ACT
Justin Fields,7,NYJ,QB,6'3,227,26,5,Ohio State,ACT
Nick Folk,6,NYJ,K,6'1,222,41,18,Arizona,ACT
Liam Fornadel,50,NYJ,G,6'4,312,26,1,James Madison,ACT
Breece Hall,20,NYJ,RB,5'11,217,24,4,Iowa State,ACT
Gus Hartwig,63,NYJ,C,6'5,312,24,R,Purdue,ACT
Marquis Hayes,77,NYJ,G,6'5,318,27,2,Oklahoma,ACT
Jack Heflin,N/A,NYJ,DT,6'3,304,27,2,Iowa,ACT
Thomas Hennessy,42,NYJ,LS,6'2,246,31,9,Duke,ACT
Khalil Herbert,31,NYJ,RB,5'9,212,27,5,Virginia Tech,ACT
Hendon Hooker,1,NYJ,QB,6'3,221,28,3,Tennessee,ACT
Jermaine Johnson,11,NYJ,LB,6'5,254,27,4,Florida State,ACT
Tyler Johnson,16,NYJ,WR,6'1,208,27,5,Minnesota,ACT
Kingsley Jonathan,57,NYJ,DL,6'4,260,27,3,Syracuse,ACT
Cam Jones,43,NYJ,LB,6'2,227,26,3,Indiana,ACT
Kobe King,45,NYJ,LB,6'1,250,23,R,Penn State,ACT
Lenny Krieg,N/A,NYJ,K,6'2,214,23,R,,ACT
Kohl Levao,60,NYJ,G,6'6,350,27,1,Hawaii,ACT
Ochaun Mathis,92,NYJ,LB,6'5,260,27,3,Nebraska,ACT
Kiko Mauigoa,51,NYJ,LB,6'2,233,22,R,Miami,ACT
Marcelino McCrary-Ball,41,NYJ,LB,6'1,214,26,2,Indiana,ACT
Will McDonald IV,9,NYJ,DE,6'4,245,26,3,Iowa State,ACT
Braiden McGregor,55,NYJ,DE,6'6,267,24,2,Michigan,ACT
Austin McNamara,14,NYJ,P,6'4,204,24,1,Texas Tech,ACT
Armand Membou,70,NYJ,T,6'4,332,21,R,Missouri,ACT
John Metchie III,3,NYJ,WR,5'11,187,25,3,Alabama,ACT
Adonai Mitchell,15,NYJ,WR,6'2,205,23,2,Texas,ACT
Max Mitchell,61,NYJ,T,6'6,307,26,4,Louisiana,ACT
Jarius Monroe,25,NYJ,S,6'2,205,25,1,Tulane,ACT
Malachi Moore,27,NYJ,DB,5'11,196,24,R,Alabama,ACT
Josh Myers,71,NYJ,C,6'5,310,27,5,Ohio State,ACT
Xavier Newman,65,NYJ,G,6'2,297,26,3,Baylor,ACT
Kene Nwangwu,34,NYJ,RB,6'1,210,28,5,Iowa State,ACT
Chukwuma Okorafor,79,NYJ,RT,6'6,320,28,7,Western Michigan,ACT
Isaiah Oliver,26,NYJ,S,6'1,202,29,8,Colorado,ACT
Payton Page,69,NYJ,DL,6'4,300,23,R,Clemson,ACT
Harrison Phillips,97,NYJ,DL,6'3,307,30,8,Stanford,ACT
Jamaal Pritchett,81,NYJ,WR,5'8,175,22,R,South Alabama,ACT
Josh Reynolds,83,NYJ,WR,6'3,192,31,9,Texas A&M,ACT
Jeremy Ruckert,89,NYJ,TE,6'5,250,25,4,Ohio State,ACT
Khalen Saunders Jr.,99,NYJ,DL,6'1,324,29,7,Western Illinois,ACT
Jamien Sherwood,44,NYJ,LB,6'2,216,26,5,Auburn,ACT
John Simpson,76,NYJ,LG,6'4,330,28,6,Clemson,ACT
Quentin Skinner,88,NYJ,WR,6'5,195,24,R,Kansas,ACT
Stone Smartt,84,NYJ,TE,6'4,226,27,4,Old Dominion,ACT
Arian Smith,82,NYJ,WR,6'1,179,24,R,Georgia,ACT
Chris Smith II,17,NYJ,S,5'11,195,25,3,Georgia,ACT
Keidron Smith,46,NYJ,DB,6'2,210,26,2,Kentucky,ACT
Mazi Smith,58,NYJ,DL,6'3,337,24,3,Michigan,ACT
Brandon Stephens,21,NYJ,CB,6'1,215,28,5,SMU,ACT
Qwan'tez Stiggers,37,NYJ,CB,6'1,197,24,2,Toronto Argonauts,ACT
Ja'Sir Taylor,36,NYJ,CB,5'10,185,27,4,Wake Forest,ACT
Mason Taylor,85,NYJ,TE,6'5,251,21,R,LSU,ACT
Tyrod Taylor,2,NYJ,QB,6'1,217,36,15,Virginia Tech,ACT
Azareye'h Thomas,23,NYJ,CB,6'1,197,21,R,Florida State,ACT
Joe Tippmann,66,NYJ,C,6'6,313,24,3,Wisconsin,ACT
Jay Tufele,78,NYJ,DL,6'3,305,26,5,USC,ACT
Alijah Vera-Tucker,75,NYJ,G,6'5,308,26,5,USC,ACT
Mykal Walker,53,NYJ,LB,6'3,230,28,6,Fresno State,ACT
Eric Watts,95,NYJ,DL,6'5,277,25,2,Connecticut,ACT
Isaiah Williams,18,NYJ,WR,5'10,185,25,2,Illinois,ACT
Quincy Williams,56,NYJ,LB,5'11,230,29,7,Murray State,ACT
Garrett Wilson,5,NYJ,WR,6'1,183,25,4,Ohio State,ACT
Samuel Womack III,39,NYJ,CB,5'10,189,26,4,Toledo,ACT
Jelani Woods,86,NYJ,TE,6'7,253,27,4,Virginia,ACT
Bailey Zappe,N/A,NYJ,QB,6'1,220,26,4,Western Kentucky,ACT
Julian Ashby,47,NE,LS,6'1,231,23,R,Vanderbilt,ACT
Alex Austin,28,NE,CB,6'1,191,24,3,Oregon State,ACT
Bryce Baringer,17,NE,P,6'2,215,26,3,Michigan State,ACT
Christian Barmore,90,NE,DT,6'5,315,26,5,Alabama,ACT
Andy Borregales,36,NE,K,5'11,202,23,R,Miami,ACT
Kayshon Boutte,9,NE,WR,5'11,197,23,3,LSU,ACT
Garrett Bradbury,65,NE,C,6'3,300,30,7,N.C. State,ACT
Ben Brown,77,NE,C,6'5,313,27,3,Mississippi,ACT
Marcus Bryant,52,NE,T,6'7,320,23,R,Missouri,ACT
Will Campbell,66,NE,T,6'6,319,22,R,LSU,ACT
K'Lavon Chaisson,44,NE,LB,6'3,255,26,6,LSU,ACT
Efton Chism III,86,NE,WR,5'10,198,24,R,Eastern Washington,ACT
Carlton Davis III,7,NE,CB,6'1,206,29,7,Auburn,ACT
Tommy DeVito,16,NE,QB,6'2,210,27,3,Illinois,ACT
Stefon Diggs,8,NE,WR,6'1,191,32,11,Maryland,ACT
CJ Dippre,82,NE,TE,6'5,256,23,R,Alabama,ACT
Joshua Dobbs,11,NE,QB,6'3,220,31,9,Tennessee,ACT
DeMario Douglas,3,NE,WR,5'8,192,25,3,Liberty,ACT
Cory Durden,94,NE,DL,6'4,305,27,1,N.C. State,ACT
Christian Elliss,53,NE,LB,6'2,231,27,4,Idaho,ACT
Jack Gibbens,51,NE,LB,6'3,242,27,3,Minnesota,ACT
Christian Gonzalez,0,NE,CB,6'1,205,23,3,Oregon,ACT
Jaylinn Hawkins,21,NE,S,6'1,208,28,6,California,ACT
TreVeyon Henderson,32,NE,RB,5'10,202,23,R,Ohio State,ACT
Hunter Henry,85,NE,TE,6'5,249,31,10,Arkansas,ACT
Mack Hollins,13,NE,WR,6'4,221,32,9,North Carolina,ACT
Austin Hooper,81,NE,TE,6'4,254,31,10,Stanford,ACT
Anfernee Jennings,33,NE,LB,6'2,255,28,6,Alabama,ACT
Marcus Jones,25,NE,CB,5'8,188,27,4,Houston,ACT
Harold Landry III,2,NE,LB,6'2,252,29,8,Boston College,ACT
Vederian Lowe,59,NE,T,6'5,315,26,4,Illinois,ACT
Marte Mapu,15,NE,LB,6'3,230,26,3,Sacramento State,ACT
Drake Maye,10,NE,QB,6'4,225,23,2,North Carolina,ACT
Kobee Minor,19,NE,DB,5'11,188,23,R,Memphis,ACT
Morgan Moses,76,NE,T,6'6,320,34,12,Virginia,ACT
Chad Muma,49,NE,LB,6'3,239,26,4,Wyoming,ACT
Thayer Munford Jr.,74,NE,T,6'6,331,26,4,Ohio State,ACT
Mike Onwenu,71,NE,RG,6'3,350,28,6,Michigan,ACT
Dell Pettus,24,NE,S,5'11,200,24,2,Troy,ACT
Elijah Ponder,91,NE,LB,6'3,261,23,R,Cal Poly,ACT
Brenden Schooler,41,NE,S,6'2,210,28,4,Texas,ACT
Robert Spillane,14,NE,LB,6'1,229,30,7,Western Michigan,ACT
Rhamondre Stevenson,38,NE,RB,6'1,227,27,5,Oklahoma,ACT
Bradyn Swinson,43,NE,LB,6'4,255,23,R,LSU,ACT
Jahlani Tavai,48,NE,LB,6'2,255,29,7,Hawaii,ACT
Khyiris Tonga,95,NE,DL,6'2,335,29,5,BYU,ACT
Caedan Wallace,70,NE,T,6'5,314,25,2,Penn State,ACT
Jack Westover,37,NE,FB,6'2,245,26,1,Washington,ACT
Kyle Williams,18,NE,WR,5'11,190,23,R,Washington State,ACT
Milton Williams,97,NE,DT,6'3,290,26,5,Louisiana Tech,ACT
Jared Wilson,58,NE,LG,6'3,310,22,R,Georgia,ACT
Charles Woods,22,NE,CB,5'11,185,25,2,SMU,ACT
Craig Woodson,31,NE,S,6'1,200,24,R,California,ACT
Marcellas Dial Jr.,27,NE,DB,6'1,190,25,2,South Carolina,IR
Yasir Durant,72,NE,T,6'6,330,27,3,Missouri,IR
Joshua Farmer,92,NE,DT,6'3,312,23,R,Florida State,IR
Antonio Gibson,4,NE,RB,6'1,228,27,6,Memphis,IR
Eric Gregory,55,NE,DT,6'3,319,25,R,Arkansas,IR
Isaiah Iton,68,NE,DT,6'2,277,24,1,Rutgers,IR
Terrell Jennings,26,NE,RB,6'1,217,25,1,Florida A&M,IR
Brock Lampe,46,NE,FB,6'1,249,22,R,Northern Illinois,IR
Lan Larison,34,NE,RB,5'11,209,24,R,UC Davis,IR
Jaquelin Roy,94,NE,DT,6'3,305,25,3,LSU,IR
Erick All Jr.,83,CIN,TE,6'5,255,25,2,Iowa,ACT
Liam Anderson,45,CIN,LB,6'3,230,25,1,Holy Cross,ACT
Tycen Anderson,26,CIN,S,6'2,205,26,4,Toledo,ACT
Daijahn Anthony,33,CIN,S,6'1,200,25,2,Mississippi,ACT
Brian Asamoah II,53,CIN,LB,6'1,230,25,4,Oklahoma,ACT
Jordan Battle,27,CIN,S,6'1,215,25,3,Alabama,ACT
Jacob Bayer,69,CIN,C,6'3,310,23,R,Arkansas State,ACT
Gary Brightwell,32,CIN,HB,6'1,218,27,4,Arizona,ACT
Tahj Brooks,25,CIN,HB,5'9,220,23,R,Texas Tech,ACT
Chase Brown,30,CIN,HB,5'10,210,25,3,Illinois,ACT
Orlando Brown Jr.,75,CIN,T,6'8,350,29,8,Oklahoma,ACT
Jake Browning,6,CIN,QB,6'2,209,29,3,Washington,ACT
Oren Burks,42,CIN,LB,6'3,233,30,8,Vanderbilt,ACT
Joe Burrow,9,CIN,QB,6'4,215,29,6,LSU,ACT
Barrett Carter,49,CIN,LB,6'1,231,23,R,Clemson,ACT
Ja'Marr Chase,1,CIN,WR,6'1,205,25,5,LSU,ACT
Sean Clifford,4,CIN,QB,6'2,212,27,2,Penn State,ACT
Andrew Coker,79,CIN,T,6'7,315,24,1,TCU,ACT
Howard Cross III,95,CIN,DT,6'1,285,24,R,Notre Dame,ACT
Jalen Davis,35,CIN,CB,5'10,186,30,5,Utah State,ACT
Dylan Fairchild,63,CIN,G,6'5,318,22,R,Georgia,ACT
Noah Fant,86,CIN,TE,6'4,249,28,7,Iowa,ACT
Joe Flacco,16,CIN,QB,6'6,245,41,18,Delaware,ACT
Cody Ford,61,CIN,T,6'3,345,29,7,Oklahoma,ACT
Isaiah Foskey,51,CIN,DE,6'5,280,25,3,Notre Dame,ACT
Javon Foster,73,CIN,T,6'5,319,25,2,Missouri,ACT
Mike Gesicki,88,CIN,TE,6'6,245,30,8,Penn State,ACT
Joe Giles-Harris,43,CIN,LB,6'2,234,28,2,Duke,ACT
Cam Grandy,85,CIN,TE,6'5,253,26,2,Illinois State,ACT
Trey Hendrickson,91,CIN,DE,6'4,265,31,9,Florida Atlantic,ACT
Shaka Heyward,50,CIN,LB,6'3,238,25,2,Duke,ACT
Tee Higgins,5,CIN,WR,6'4,220,27,6,Clemson,ACT
B.J. Hill,92,CIN,DT,6'3,311,30,8,NC State,ACT
Dax Hill,23,CIN,CB,6'1,195,25,4,Michigan,ACT
Tanner Hudson,87,CIN,TE,6'5,241,31,6,Southern Arkansas,ACT
Andrei Iosivas,80,CIN,WR,6'3,210,26,3,Princeton,ACT
DJ Ivey,38,CIN,CB,6'1,192,25,3,Miami,ACT
McKinnley Jackson,93,CIN,DT,6'2,330,24,2,Texas A&M,ACT
Jordan Jefferson,94,CIN,DT,6'4,317,24,2,LSU,ACT
Kris Jenkins Jr.,90,CIN,DT,6'3,310,24,2,Michigan,ACT
Cedric Johnson,52,CIN,DE,6'3,264,23,2,Mississippi,ACT
Xavier Johnson,18,CIN,WR,6'1,210,26,1,Ohio State,ACT
Charlie Jones,15,CIN,WR,6'1,190,27,3,Purdue,ACT
PJ Jules,37,CIN,S,6'1,203,24,1,Southern Illinois,ACT
Ted Karras,64,CIN,C,6'4,310,32,10,Illinois,ACT
Jalen Kimber,40,CIN,CB,6'1,190,25,R,Penn State,ACT
Demetrius Knight Jr.,44,CIN,LB,6'2,240,25,R,South Carolina,ACT
Matt Lee,65,CIN,C,6'4,310,24,2,Miami,ACT
Bralyn Lux,21,CIN,CB,5'10,180,25,R,Texas Tech,ACT
Evan McPherson,2,CIN,K,5'11,185,26,5,Florida,ACT
Dohnte Meyers,N/A,CIN,WR,5'11,186,25,R,Delta State University,ACT
Amarius Mims,71,CIN,T,6'8,350,23,2,Georgia,ACT
Jordan Moore,14,CIN,WR,6'1,191,23,R,Duke,ACT
Myles Murphy,99,CIN,DE,6'5,275,24,3,Clemson,ACT
Josh Newton,28,CIN,CB,5'11,190,25,2,TCU,ACT
Joseph Ossai,58,CIN,DE,6'4,263,25,5,Texas,ACT
Lucas Patrick,62,CIN,G,6'3,313,32,9,Duke,ACT
Samaje Perine,34,CIN,HB,5'11,240,30,9,Oklahoma,ACT
Antwaun Powell-Ryland,56,CIN,LB,6'3,252,23,R,Virginia Tech,ACT
Kendric Pryor,19,CIN,WR,5'11,189,28,2,Wisconsin,ACT
Ryan Rehkow,8,CIN,P,6'4,235,27,2,BYU,ACT
Dalton Risner,66,CIN,G,6'5,312,30,7,Kansas State,ACT
Jalen Rivers,74,CIN,G,6'5,319,23,R,Miami,ACT
Cam Sample,96,CIN,DE,6'3,272,26,5,Tulane,ACT
Drew Sample,89,CIN,TE,6'5,260,29,7,Washington,ACT
T.J. Slaton Jr.,98,CIN,DT,6'5,340,28,5,Florida,ACT
Shemar Stewart,97,CIN,DE,6'5,267,22,R,Texas A&M,ACT
Geno Stone,22,CIN,S,5'11,210,26,6,Iowa,ACT
Cam Taylor-Britt,29,CIN,CB,5'11,200,26,4,Nebraska,ACT
